epoch,accuracy,loss,val_accuracy,val_loss
0,0.8306875228881836,1.2123959064483643,0.9390833377838135,0.25011709332466125
1,0.9146875143051147,0.3212043344974518,0.9568333625793457,0.1776217818260193
2,0.9379374980926514,0.22474627196788788,0.9611666798591614,0.15620236098766327
3,0.9458125233650208,0.19291961193084717,0.9660833477973938,0.134974867105484
4,0.953083336353302,0.16575898230075836,0.9598333239555359,0.1542515903711319
5,0.9581666588783264,0.14815936982631683,0.9697499871253967,0.12255917489528656
6,0.9623749852180481,0.13280366361141205,0.96875,0.12742896378040314
7,0.964020848274231,0.12734675407409668,0.9730833172798157,0.1321960687637329
8,0.9659166932106018,0.11800850182771683,0.9728333353996277,0.13139690458774567
9,0.9689791798591614,0.10656764358282089,0.9650833606719971,0.1508241444826126
10,0.9689375162124634,0.11370334774255753,0.9752500057220459,0.12761183083057404
11,0.9705833196640015,0.1072559580206871,0.9725000262260437,0.13350455462932587
12,0.971750020980835,0.10011386126279831,0.9739166498184204,0.14949186146259308
13,0.9754999876022339,0.09116959571838379,0.9744166731834412,0.1411914825439453
14,0.9763333201408386,0.08470936119556427,0.9764999747276306,0.11258312314748764
15,0.9777291417121887,0.0817418247461319,0.9750000238418579,0.13453857600688934
16,0.9770416617393494,0.08428604155778885,0.9754166603088379,0.14538881182670593
17,0.9775208234786987,0.08281479775905609,0.9764999747276306,0.14637869596481323
18,0.9785624742507935,0.07992471754550934,0.9730833172798157,0.1400974839925766
19,0.9778541922569275,0.0828213170170784,0.9775000214576721,0.13925233483314514
20,0.979729175567627,0.07292823493480682,0.9769166707992554,0.15490643680095673
21,0.9784583449363708,0.08108589798212051,0.9738333225250244,0.16953802108764648
22,0.9781249761581421,0.08427189290523529,0.9773333072662354,0.14637547731399536
23,0.9804791808128357,0.07132603228092194,0.9789166450500488,0.13500794768333435
24,0.9812291860580444,0.07133716344833374,0.9788333177566528,0.16275560855865479
25,0.9810000061988831,0.07511800527572632,0.9786666631698608,0.1348118633031845
26,0.9825208187103271,0.06216923147439957,0.9779999852180481,0.16442185640335083
27,0.9813958406448364,0.07274207472801208,0.9776666760444641,0.18182644248008728
28,0.981374979019165,0.07677816599607468,0.9760000109672546,0.18695548176765442
29,0.9824374914169312,0.06932219862937927,0.9770833253860474,0.18587325513362885
30,0.9834791421890259,0.06622254848480225,0.9785000085830688,0.18633410334587097
31,0.9838541746139526,0.06296452134847641,0.9784166812896729,0.17702209949493408
32,0.9818958044052124,0.07488073408603668,0.9760833382606506,0.2358742654323578
33,0.984458327293396,0.06221221759915352,0.9773333072662354,0.1891804337501526
34,0.9832916855812073,0.0705842450261116,0.9778333306312561,0.16561150550842285
35,0.9834374785423279,0.07262080162763596,0.9769999980926514,0.1845933496952057
36,0.9855833053588867,0.06258255243301392,0.9789166450500488,0.2018515169620514
37,0.9849583506584167,0.06215853989124298,0.9785000085830688,0.22257526218891144
38,0.984250009059906,0.0676475316286087,0.9745000004768372,0.24078620970249176
39,0.9832500219345093,0.07497033476829529,0.9736666679382324,0.27477604150772095
40,0.9839791655540466,0.06478932499885559,0.9784166812896729,0.23002278804779053
41,0.9852291941642761,0.05877557024359703,0.9778333306312561,0.24283327162265778
42,0.9856250286102295,0.06166505441069603,0.9779999852180481,0.2567186951637268
43,0.984458327293396,0.07171668112277985,0.9739999771118164,0.27265414595603943
44,0.9857500195503235,0.06095538288354874,0.9786666631698608,0.24134358763694763
45,0.9863958358764648,0.05971936881542206,0.9755833148956299,0.31848159432411194
46,0.9861875176429749,0.061514899134635925,0.9743333458900452,0.23946744203567505
47,0.9857083559036255,0.06283790618181229,0.9784166812896729,0.2785811424255371
48,0.9862916469573975,0.062026847153902054,0.9761666655540466,0.2638424336910248
49,0.9862291812896729,0.06279002130031586,0.9774166941642761,0.3298673629760742
